id;ner_documento
18;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []], [10, []], [11, []], [12, []], [13, []], [14, []], [15, []]]
19;[[0, []], [1, []], [2, []], [3, []], [4, []]]
20;[[0, [['Verdadeiro', 'PER', 52, 62]]], [1, []], [2, []], [3, [['Profundamente me descompreendo', 'MISC', 35, 65]]], [4, []], [5, [['Felizes', 'PER', 34, 41]]], [6, [['São-no', 'LOC', 0, 6]]], [7, []], [8, [['Um lugar', 'MISC', 19, 27]]], [9, [['Vejo', 'MISC', 18, 22]]], [10, [['Menos me sinto compreendido', 'MISC', 23, 50]]], [11, []], [12, [['Alegres', 'LOC', 0, 7]]]]
21;"[[0, [[""Minh'alma"", 'PER', 0, 9]]], [1, [['Meus', 'LOC', 0, 4]]], [2, []], [3, []], [4, []], [5, [['Passo', 'LOC', 0, 5], ['Amor', 'MISC', 20, 24]]], [6, []], [7, []], [8, [['Duma', 'MISC', 0, 4]]], [9, []], [10, []], [11, [['Que tu és como', 'MISC', 34, 48], ['Deus : Princípio e Fim !', 'MISC', 49, 73]]], [12, []]]"
22;[[0, [['Meu Deus', 'PER', 0, 8], ['Tua', 'LOC', 95, 98]]], [1, []], [2, [['Tua', 'PER', 23, 26], ['Ti', 'LOC', 57, 59]]], [3, []], [4, [['Te', 'LOC', 35, 37], ['Tuas', 'PER', 57, 61]]], [5, []], [6, []], [7, []], [8, []], [9, []]]
23;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []]]
24;[[0, [['Minhas', 'PER', 113, 119]]], [1, []], [2, [['Chorarei', 'LOC', 0, 8]]], [3, []]]
25;[[0, []], [1, []], [2, []]]
27;[[0, []], [1, [['Morder', 'MISC', 0, 6]]], [2, [['Rei do Reino de Aquém', 'PER', 35, 56], ['Além Dor!', 'MISC', 62, 71]]], [3, []], [4, []], [5, [['Infinito!', 'MISC', 26, 35]]], [6, []], [7, []], [8, []], [9, []]]
29;[[0, []], [1, []], [2, []]]
30;[[0, []], [1, []], [2, [['Deus', 'MISC', 6, 10]]], [3, []], [4, [['Deus', 'MISC', 6, 10]]], [5, []], [6, []], [7, []]]
31;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []]]
32;[[0, [['Que te fiz', 'MISC', 112, 122]]], [1, []], [2, [['Já', 'MISC', 7, 9]]], [3, []], [4, [['O nosso amor', 'MISC', 29, 41]]], [5, []], [6, []], [7, [['Matar', 'LOC', 30, 35]]]]
33;[[0, []], [1, []]]
34;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, [['O grande sonho - ó dor!', 'MISC', 38, 61]]], [7, []], [8, []], [9, []], [10, []], [11, []], [12, []], [13, [['Asa', 'LOC', 0, 3]]], [14, []], [15, []], [16, []], [17, [['Ânsias', 'LOC', 0, 6]]], [18, []], [19, [['Ogivas', 'LOC', 0, 6]]], [20, []], [21, [['Tudo encetei e nada', 'MISC', 32, 51]]], [22, [['Das coisas', 'MISC', 36, 46]]], [23, []], [24, []], [25, []], [26, []], [27, []], [28, []], [29, []], [30, []], [31, [['Anseiam-se-me', 'ORG', 20, 33]]]]
35;[[0, []], [1, []], [2, [['Um olhar bem limpo', 'MISC', 17, 35]]], [3, []], [4, []], [5, []], [6, [['Escrupulosos', 'LOC', 30, 42]]], [7, []], [8, []], [9, []], [10, []], [11, [['Amigo', 'PER', 81, 86]]]]
36;[[0, []], [1, [['Transformarmo-nos', 'MISC', 0, 17]]], [2, []], [3, [['Grande Desfazer', 'MISC', 166, 181]]], [4, [['Fulano', 'PER', 1, 7], ['V. Exa', 'PER', 26, 32]]], [5, []], [6, []], [7, []], [8, [['Apertos', 'PER', 0, 7]]], [9, [['Ternura de calafrio', 'MISC', 0, 19]]], [10, [['Adeus!', 'MISC', 1, 7]]], [11, [['Adeus!', 'MISC', 0, 6]]], [12, []], [13, []], [14, []], [15, []], [16, []]]
37;[[0, [['Sol', 'PER', 74, 77], ['Estrelas', 'PER', 99, 107]]], [1, [['Mãe', 'PER', 38, 41]]], [2, []], [3, []], [4, [['Mãe', 'PER', 82, 85]]]]
38;[[0, []], [1, [['Pensei', 'MISC', 0, 6]]], [2, []], [3, []], [4, []]]
39;[[0, [['Estrelas', 'PER', 60, 68]]], [1, [['Mais doce que a brisa', 'MISC', 66, 87]]], [2, []], [3, []], [4, []], [5, [['Inquietos', 'PER', 59, 68]]], [6, []], [7, []], [8, []], [9, []], [10, []], [11, [['Tão frouxo brilhar', 'MISC', 25, 43], ['E os olhos tão meigos', 'MISC', 87, 108]]], [12, [['Desperta', 'MISC', 42, 50]]], [13, []], [14, []], [15, [['Harpa celeste', 'MISC', 23, 36]]], [16, []], [17, []], [18, []], [19, []], [20, []], [21, []], [22, []]]
41;[[0, [['Mundo', 'LOC', 85, 90]]], [1, []], [2, []], [3, []]]
42;[[0, [['De desalento...', 'MISC', 31, 46]]], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, [['Amargo', 'LOC', 0, 6], ['Cai', 'PER', 17, 20]]], [8, []], [9, []]]
43;[[0, []], [1, []], [2, []], [3, []], [4, [['ressonam', 'PER', 30, 38], ['borco', 'PER', 42, 47]]]]
44;[[0, [['Deus', 'PER', 43, 47]]], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, [['Ficaste sozinho', 'LOC', 0, 15]]], [9, []], [10, []], [11, []], [12, []], [13, []], [14, []], [15, []], [16, []], [17, []]]
45;[[0, []], [1, []]]
46;[[0, [['Escurece o jardim', 'MISC', 29, 46], ['Estala', 'LOC', 64, 70], ['A noite cada nó em si deslaça', 'MISC', 104, 133]]], [1, []], [2, []], [3, [['Me', 'MISC', 33, 35]]]]
47;[[0, []], [1, []], [2, []], [3, []]]
48;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []]]
49;[[0, []], [1, [['Porque', 'LOC', 36, 42]]], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []]]
50;[[0, []], [1, [['Embeba-se-lhe', 'MISC', 0, 13], ['Duma', 'MISC', 35, 39], ['Intensa', 'PER', 67, 74]]], [2, [['Agite-se um pendão E', 'MISC', 22, 42]]], [3, []]]
51;[[0, [['Vale', 'LOC', 0, 4]]], [1, []], [2, []]]
52;[[0, [['Amo-te', 'PER', 0, 6]]], [1, []], [2, []], [3, [['Amo-te', 'PER', 0, 6]]], [4, []], [5, [['Amo-te', 'PER', 0, 6]]], [6, []], [7, [['Amo-te', 'PER', 0, 6]]], [8, []], [9, []], [10, []], [11, []], [12, []], [13, []]]
53;[[0, []], [1, [['Abre-me', 'ORG', 0, 7]]], [2, [['Nossas línguas se busquem', 'MISC', 34, 59]]], [3, []], [4, []], [5, [['Sentindo o nosso sangue', 'MISC', 74, 97]]], [6, []], [7, []], [8, []]]
54;[[0, []], [1, []], [2, [['Livre', 'MISC', 28, 33]]]]
55;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []], [10, []], [11, []], [12, []], [13, []], [14, []], [15, []], [16, []], [17, []], [18, []], [19, []], [20, []], [21, []], [22, []], [23, [['branquejar', 'LOC', 22, 32]]], [24, []], [25, []], [26, []], [27, []], [28, []], [29, []], [30, []], [31, []], [32, []], [33, []], [34, []], [35, []]]
56;[[0, []], [1, []], [2, []]]
57;[[0, [['Ai', 'LOC', 73, 75], ['Deus Que frio', 'MISC', 99, 112], ['Deus', 'PER', 235, 239], ['Deus', 'PER', 278, 282]]], [1, [['Quero', 'PER', 45, 50]]], [2, []], [3, []]]
58;[[0, [['Julgamos', 'LOC', 37, 45]]], [1, []], [2, []], [3, [['Límpidos', 'PER', 40, 48]]]]
59;[[0, []]]
60;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, [['encostarás', 'LOC', 10, 20]]], [6, [['desabrocharás', 'LOC', 39, 52]]], [7, []], [8, []], [9, []], [10, []], [11, []], [12, []], [13, []], [14, []]]
62;[[0, [['Inferno?Quem', 'LOC', 33, 45], ['Infernoousa', 'MISC', 56, 67], ['Amor?Ninguém me amaninguém me querninguém me', 'MISC', 77, 121], ['Baudelaire', 'PER', 130, 140]]]]
63;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []]]
64;[[0, []], [1, []], [2, []]]
65;[[0, []], [1, []], [2, []], [3, []], [4, [['Amor?', 'MISC', 93, 98]]]]
66;[[0, []], [1, []], [2, []]]
67;[[0, []], [1, []], [2, []], [3, [['Chegastes', 'LOC', 0, 9]]], [4, [['Amanhã', 'LOC', 0, 6]]]]
68;[[0, []], [1, [['Peço-Te', 'MISC', 0, 7]]], [2, []], [3, [['Peço-Te', 'MISC', 0, 7]]], [4, [['Peço-Te', 'MISC', 0, 7]]], [5, []], [6, [['Terra', 'LOC', 21, 26]]], [7, []]]
69;[[0, [['Palavras de amor', 'MISC', 50, 66]]], [1, [['Palavras', 'MISC', 55, 63]]], [2, []], [3, [['Esperadas', 'MISC', 24, 33]]], [4, []], [5, [['Aonde', 'LOC', 118, 123], ['Abraçados', 'PER', 170, 179]]]]
70;[[0, []], [1, []], [2, []]]
71;[[0, []], [1, []], [2, []], [3, []]]
72;[[0, [['Devias', 'PER', 0, 6], ['Só no teu rosto e nunca em mais nenhum', 'MISC', 142, 180]]]]
73;[[0, []], [1, []]]
74;[[0, []], [1, []], [2, []]]
75;[[0, []]]
76;[[0, []]]
77;[[0, [['Tebas', 'LOC', 15, 20]]], [1, []], [2, [['Babilónia', 'LOC', 0, 9]]], [3, [['Da Lima Dourada', 'LOC', 13, 28]]], [4, [['Muralha da China', 'MISC', 29, 45]]], [5, [['Roma', 'LOC', 9, 13]]], [6, []], [7, [['Triunfaram', 'PER', 11, 21], ['Césares', 'PER', 25, 32]]], [8, [['Bizâncio Sò', 'PER', 14, 25]]], [9, []], [10, [['Atlântida', 'LOC', 17, 26]]], [11, [['Viu', 'ORG', 32, 35]]], [12, [['Alexandre', 'PER', 8, 17], ['Indias Sózinho', 'MISC', 32, 46]]], [13, [['César', 'PER', 0, 5]]], [14, []], [15, [['Filipe de Espanha', 'PER', 31, 48], ['Chorou', 'PER', 49, 55]]], [16, []], [17, [['Frederico II', 'PER', 0, 12]]], [18, []], [19, []], [20, []], [21, []], [22, []], [23, []], [24, []]]
78;[[0, []]]
79;[[0, [['Desconfiai', 'LOC', 0, 10]]], [1, []], [2, []]]
80;[[0, []], [1, [['bichinho álacre', 'PER', 58, 73]]], [2, [['Infante', 'PER', 234, 241], ['Cabo da Boa Esperança', 'LOC', 272, 293], ['Colombina', 'PER', 366, 375], ['Arlequim', 'PER', 378, 386]]], [3, []], [4, []]]
83;[[0, []], [1, []], [2, []], [3, []], [4, []]]
84;[[0, []], [1, []], [2, []]]
85;[[0, []], [1, []], [2, [['Paros Cinzelados', 'LOC', 27, 43]]], [3, []], [4, []], [5, [['Amor', 'MISC', 9, 13]]], [6, []], [7, [['Amo-te tanto!', 'MISC', 0, 13]]], [8, []], [9, [['Amor', 'MISC', 15, 19], ['Guardo', 'PER', 39, 45]]]]
86;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []]]
87;[[0, [['ligeira náusea', 'MISC', 164, 178]]], [1, []]]
88;[[0, []]]
89;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []]]
90;[[0, []], [1, []], [2, []], [3, []], [4, []]]
91;[[0, []]]
92;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, [['Beber-te', 'PER', 0, 8]]], [10, []], [11, []], [12, []], [13, []]]
94;[[0, []], [1, []], [2, []], [3, [['Liberdade', 'LOC', 42, 51]]]]
95;[[0, []], [1, []], [2, []]]
96;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []]]
97;[[0, [['Sr. Diretor', 'PER', 158, 169]]], [1, []], [2, []], [3, []], [4, []], [5, [['Político Raquítico Sifilítico', 'PER', 74, 103]]], [6, []], [7, []], [8, []], [9, []], [10, []], [11, [['Shakespeare', 'PER', 24, 35]]]]
98;[[0, [['Lídia', 'LOC', 22, 27]]], [1, []], [2, [['Enlaçemos', 'ORG', 1, 10]]], [3, [['Passa', 'LOC', 46, 51], ['Fado', 'MISC', 135, 139]]], [4, [['Desenlacemos', 'PER', 0, 12]]], [5, []], [6, []], [7, []]]
99;[[0, []]]
100;[[0, [['Quero', 'PER', 26, 31]]]]
