id;documento
14;"Houve um tempo em que minha janela se abria sobre uma cidade que parecia
ser feita de giz. Perto da janela havia um pequeno jardim quase seco.
Era uma época de estiagem, de terra esfarelada, e o jardim parecia morto.
Mas todas as manhãs vinha um pobre com um balde, e, em silêncio, ia atirando
com a mão umas gotas de água sobre as plantas. Não era uma rega: era uma
espécie de aspersão ritual, para que o jardim não morresse. E eu olhava para
as plantas, para o homem, para as gotas de água que caíam de seus dedos
magros e meu coração ficava completamente feliz.
Às vezes abro a janela e encontro o jasmineiro em flor. Outras vezes
encontro nuvens espessas. Avisto crianças que vão para a escola. Pardais que
pulam pelo muro. Gatos que abrem e fecham os olhos, sonhando com pardais.
Borboletas brancas, duas a duas, como refletidas no espelho do ar.
Marimbondos que sempre me parecem personagens de Lope de Vega. Ás vezes, um
galo canta. Às vezes, um avião passa. Tudo está certo, no seu lugar,
cumprindo o seu destino. E eu me sinto completamente feliz.
Mas, quando falo dessas pequenas felicidades certas, que estão diante de
cada janela, uns dizem que essas coisas não existem, outros que só existem
diante das minhas janelas, e outros, finalmente, que é preciso aprender a
olhar, para poder vê-las assim.

"
15;"Sei um ninho.
E o ninho tem um ovo.
E o ovo, redondinho,
Tem lá dentro um passarinho
Novo.

Mas escusam de me atentar:
Nem o tiro, nem o ensino.
Quero ser um bom menino
E guardar
Este segredo comigo.
E ter depois um amigo
Que faça o pino
A voar..."
16;"O que me tranquiliza 
é que tudo o que existe, 
existe com uma precisão absoluta. 
O que for do tamanho de uma cabeça de alfinete 
não transborda nem uma fração de milímetro 
além do tamanho de uma cabeça de alfinete. 
Tudo o que existe é de uma grande exatidão. 
Pena é que a maior parte do que existe 
com essa exatidão 
nos é tecnicamente invisível. 
O bom é que a verdade chega a nós 
como um sentido secreto das coisas. 
Nós terminamos adivinhando, confusos, 
a perfeição."
17;"(Ato Institucional Permanente)

A Carlos Heitor Cony


Artigo I.
Fica decretado que agora vale a verdade.
que agora vale a vida,
e que de mãos dadas,
trabalharemos todos pela vida verdadeira.

Artigo II.
Fica decretado que todos os dias da semana,
inclusive as terças-feiras mais cinzentas,
têm direito a converter-se em manhãs de domingo.

Artigo III.
Fica decretado que, a partir deste instante,
haverá girassóis em todas as janelas,
que os girassóis terão direito
a abrir-se dentro da sombra;
e que as janelas devem permanecer, o dia inteiro,
abertas para o verde onde cresce a esperança.

Artigo IV.
Fica decretado que o homem
não precisará nunca mais
duvidar do homem.
Que o homem confiará no homem
como a palmeira confia no vento,
como o vento confia no ar,
como o ar confia no campo azul do céu.

Parágrafo Único:
O homem confiará no homem
como um menino confia em outro menino.

Artigo V.
Fica decretado que os homens
estão livres do jugo da mentira.
Nunca mais será preciso usar
a couraça do silêncio
nem a armadura de palavras.
O homem se sentará à mesa
com seu olhar limpo
porque a verdade passará a ser servida
antes da sobremesa.

Artigo VI.
Fica estabelecida, durante dez séculos,
a prática sonhada pelo profeta Isaías,
e o lobo e o cordeiro pastarão juntos
e a comida de ambos terá o mesmo gosto de aurora.

Artigo VII.
Por decreto irrevogável fica estabelecido
o reinado permanente da justiça e da claridade,
e a alegria será uma bandeira generosa
para sempre desfraldada na alma do povo.

Artigo VIII.
Fica decretado que a maior dor
sempre foi e será sempre
não poder dar-se amor a quem se ama
e saber que é a água
que dá à planta o milagre da flor.

Artigo IX.
Fica permitido que o pão de cada dia
tenha no homem o sinal de seu suor.
Mas que sobretudo tenha sempre
o quente sabor da ternura.

Artigo X.
Fica permitido a qualquer pessoa,
a qualquer hora da vida,
o uso do traje branco.

Artigo XI.
Fica decretado, por definição,
que o homem é um animal que ama
e que por isso é belo.
muito mais belo que a estrela da manhã.

Artigo XII.
Decreta-se que nada será obrigado nem proibido.
tudo será permitido,
inclusive brincar com os rinocerontes
e caminhar pelas tardes
com uma imensa begônia na lapela.

Parágrafo único:
Só uma coisa fica proibida:
amar sem amor.

Artigo XIII.
Fica decretado que o dinheiro
não poderá nunca mais comprar
o sol das manhãs vindouras.
Expulso do grande baú do medo,
o dinheiro se transformará em uma espada fraternal
para defender o direito de cantar
e a festa do dia que chegou.

Artigo Final.
Fica proibido o uso da palavra liberdade.
a qual será suprimida dos dicionários
e do pântano enganoso das bocas.
A partir deste instante
a liberdade será algo vivo e transparente
como um fogo ou um rio,
e a sua morada será sempre
o coração do homem.


Santiago do Chile, abril de 1964

Publicado no livro Faz Escuro Mas Eu Canto: Porque a Manhã Vai Chegar (1965).

In: MELLO, Thiago de. Vento geral, 1951/1981: doze livros de poemas. 2.ed. Rio de Janeiro: Civilização Brasileira, 198"
18;"Tu tens um medo:
Acabar.
Não vês que acabas todo o dia.
Que morres no amor.
Na tristeza.
Na dúvida.
No desejo. 
Que te renovas todo o dia. 
No amor. 
Na tristeza.
Na dúvida.
No desejo.
Que és sempre outro.
Que és sempre o mesmo.
Que morrerás por idades imensas.
Até não teres medo de morrer.

E então serás eterno."
19;"Há homens que lutam um dia, e são bons;
Há outros que lutam um ano, e são melhores;
Há aqueles que lutam muitos anos, e são muito bons;
Porém há os que lutam toda a vida
Estes são os imprescindíveis"
20;"O mistério do mundo,
O íntimo, horroroso, desolado,
Verdadeiro mistério da existência,
Consiste em haver esse mistério. 
...

Não é a dor de já não poder crer
Que m’oprime, nem a de não saber,
Mas apenas completamente o horror
De ter visto o mistério frente a frente,
De tê-lo visto e compreendido em toda
A sua infinidade de mistério. 
...

Quanto mais fundamente penso, mais
Profundamente me descompreendo.
O saber é a inconsciência de ignorar... 

Só a inocência e a ignorância são
Felizes, mas não o sabem. São-no ou não?
Que é ser sem o saber? Ser, como a pedra,
Um lugar, nada mais. 
...

Quanto mais claro
Vejo em mim, mais escuro é o que vejo.
Quanto mais compreendo
Menos me sinto compreendido. Ó horror
paradoxal deste pensar... 
...

Alegres camponesas, raparigas alegres e ditosas,
Como me amarga n’alma essa alegria!"
21;"Minh’alma, de sonhar-te, anda perdida
Meus olhos andam cegos de te ver !
Não és sequer a razão do meu viver,
Pois que tu és já toda a minha vida !

Não vejo nada assim enlouquecida ...
Passo no mundo, meu Amor, a ler
No misterioso livro do teu ser
A mesma história tantas vezes lida !

""Tudo no mundo é frágil, tudo passa ...""
Quando me dizem isto, toda a graça
Duma boca divina fala em mim !

E, olhos postos em ti, digo de rastros :
""Ah ! Podem voar mundos, morrer astros,
Que tu és como Deus : Princípio e Fim ! ...""
"
22;"Meu Deus, me dê a coragem
de viver trezentos e sessenta e cinco dias e noites,
todos vazios de Tua presença.
Me dê a coragem de considerar esse vazio
como uma plenitude.
Faça com que eu seja a Tua amante humilde,
entrelaçada a Ti em êxtase.
Faça com que eu possa falar
com este vazio tremendo
e receber como resposta
o amor materno que nutre e embala.
Faça com que eu tenha a coragem de Te amar,
sem odiar as Tuas ofensas à minha alma e ao meu corpo.
Faça com que a solidão não me destrua.
Faça com que minha solidão me sirva de companhia.
Faça com que eu tenha a coragem de me enfrentar.
Faça com que eu saiba ficar com o nada
e mesmo assim me sentir
como se estivesse plena de tudo.
Receba em teus braços
o meu pecado de pensar."
23;"Os amantes se amam cruelmente
e com se amarem tanto não se vêem.
Um se beija no outro, refletido.
Dois amantes que são? Dois inimigos.

Amantes são meninos estragados
pelo mimo de amar: e não percebem
quanto se pulverizam no enlaçar-se,
e como o que era mundo volve a nada.

Nada. Ninguém. Amor, puro fantasma
que os passeia de leve, assim a cobra
se imprime na lembrança de seu trilho.

E eles quedam mordidos para sempre.
deixaram de existir, mas o existido
continua a doer eternamente. 
"
24;"Pus o meu sonho num navio 
e o navio em cima do mar; 
- depois, abri o mar com as mãos, 
para o meu sonho naufragar 

Minhas mãos ainda estão molhadas 
do azul das ondas entreabertas, 
e a cor que escorre de meus dedos 
colore as areias desertas. 

O vento vem vindo de longe, 
a noite se curva de frio; 
debaixo da água vai morrendo 
meu sonho, dentro de um navio... 

Chorarei quanto for preciso, 
para fazer com que o mar cresça, 
e o meu navio chegue ao fundo 
e o meu sonho desapareça. 

Depois, tudo estará perfeito; 
praia lisa, águas ordenadas, 
meus olhos secos como pedras 
e as minhas duas mãos quebradas."
25;"Terror de te amar num sítio tão frágil como o mundo

Mal de te amar neste lugar de imperfeição
Onde tudo nos quebra e emudece
Onde tudo nos mente e nos separa"
26;"Meu Senhor, tende piedade dos que andam de bonde
E sonham no longo percurso com automóveis, apartamentos...
Mas tende piedade também dos que andam de automóvel
Quantos enfrentam a cidade movediça de sonâmbulos, na direção.

Tende piedade das pequenas famílias suburbanas
E em particular dos adolescentes que se embebedam de domingos
Mas tende mais piedade ainda de dois elegantes que passam
E sem saber inventam a doutrina do pão e da guilhotina

Tende muita piedade do mocinho franzino, três cruzes, poeta
Que só tem de seu as costeletas e a namorada pequenina 
Mas tende mais piedade ainda do impávido forte colosso do esporte
E que se encaminha lutando, remando, nadando para a morte.

Tende imensa piedade dos músicos de cafés e de casas de chá
Que são virtuoses da própria tristeza e solidão
Mas tende piedade também dos que buscam o silêncio
E súbito se abate sobre eles uma ária da Tosca.

Não esqueçais também em vossa piedade os pobres que enriqueceram
E para quem o suicídio ainda é a mais doce solução
Mas tende realmente piedade dos ricos que empobreceram
E tornam-se heróicos e à santa pobreza dão um ar de grandeza.

Tende infinita piedade dos vendedores de passarinhos
Quem em suas alminhas claras deixam a lágrima e a incompreensão
E tende piedade também, menor embora, dos vendedores de balcão
Que amam as freguesas e saem de noite, quem sabe onde vão...

Tende piedade dos barbeiros em geral, e dos cabeleireiros
Que se efeminam por profissão mas são humildes nas suas carícias
Mas tende maior piedade ainda dos que cortam o cabelo:
Que espera, que angústia, que indigno, meu Deus!

Tende piedade dos sapateiros e caixeiros de sapataria
Quem lembram madalenas arrependidas pedindo piedade pelos sapatos
Mas lembrai-vos também dos que se calçam de novo
Nada pior que um sapato apertado, Senhor Deus.

Tende piedade dos homens úteis como os dentistas
Que sofrem de utilidade e vivem para fazer sofrer
Mas tente mais piedade dos veterinários e práticos de farmácia
Que muito eles gostariam de ser médicos, Senhor.

Tende piedade dos homens públicos e em particular dos políticos
Pela sua fala fácil, olhar brilhante e segurança dos gestos de mão
Mas tende mais piedade ainda dos seus criados, próximos e parentes
Fazei, Senhor, com que deles não saiam políticos também.

E no longo capítulo das mulheres, Senhor, tenha piedade das mulheres
Castigai minha alma, mas tende piedade das mulheres
Enlouquecei meu espírito, mas tende piedade das mulheres
Ulcerai minha carne, mas tende piedade das mulheres!

Tende piedade da moça feia que serve na vida
De casa, comida e roupa lavada da moça bonita
Mas tende mais piedade ainda da moça bonita
Que o homem molesta — que o homem não presta, não presta, meu Deus!

Tende piedade das moças pequenas das ruas transversais
Que de apoio na vida só têm Santa Janela da Consolação
E sonham exaltadas nos quartos humildes
Os olhos perdidos e o seio na mão.

Tende piedade da mulher no primeiro coito
Onde se cria a primeira alegria da Criação
E onde se consuma a tragédia dos anjos
E onde a morte encontra a vida em desintegração.

Tende piedade da mulher no instante do parto
Onde ela é como a água explodindo em convulsão
Onde ela é como a terra vomitando cólera
Onde ela é como a lua parindo desilusão.

Tende piedade das mulheres chamadas desquitadas
Porque nelas se refaz misteriosamente a virgindade
Mas tende piedade também das mulheres casadas
Que se sacrificam e se simplificam a troco de nada.

Tende piedade, Senhor, das mulheres chamadas vagabundas
Que são desgraçadas e são exploradas e são infecundas
Mas que vendem barato muito instante de esquecimento
E em paga o homem mata com a navalha, com o fogo, com o veneno. 

Tende piedade, Senhor, das primeiras namoradas
De corpo hermético e coração patético
Que saem à rua felizes mas que sempre entram desgraçadas
Que se crêem vestidas mas que em verdade vivem nuas.

Tende piedade, Senhor, de todas as mulheres
Que ninguém mais merece tanto amor e amizade
Que ninguém mais deseja tanto poesia e sinceridade
Que ninguém mais precisa tanto alegria e serenidade.

Tende infinita piedade delas, Senhor, que são puras
Que são crianças e são trágicas e são belas
Que caminham ao sopro dos ventos e que pecam 
E que têm a única emoção da vida nelas.

Tende piedade delas, Senhor, que uma me disse 
Ter piedade de si mesma e da sua louca mocidade
E outra, à simples emoção do amor piedoso
Delirava e se desfazia em gozos de amor de carne. 

Tende piedade delas, Senhor, que dentro delas
A vida fere mais fundo e mais fecundo
E o sexo está nelas, e o mundo está nelas
E a loucura reside nesse mundo.

Tende piedade, Senhor, das santas mulheres
Dos meninos velhos, dos homens humilhados — sede enfim
Piedoso com todos, que tudo merece piedade
E se piedade vos sobrar, Senhor, tende piedade de mim!"
27;"Ser poeta é ser mais alto, é ser maior
Do que os homens! Morder como quem beija!
É ser mendigo e dar como quem seja
Rei do Reino de Aquém e de Além Dor!

É ter de mil desejos o esplendor
E não saber sequer que se deseja!
É ter cá dentro um astro que flameja,
É ter garras e asas de condor!

É ter fome, é ter sede de Infinito!
Por elmo, as manhãs de oiro e de cetim...
É condensar o mundo num só grito! 

E é amar-te, assim, perdidamente...
É seres alma, e sangue, e vida em mim
E dizê-lo cantando a toda a gente!"
28;"Cruzaste
a porta do tempo.
Sem resplendores (chegaste)
de sol ferindo o levante,
fulges-me aos olhos — cristal
entre sonho e a relembrança
do que não sou, do que fui.

(...)

Perante a paz de teu sono.
dentro de mim se desfralda
um jeito novo de amar.
Meus vícios e desvirtudes
cabisbaixos se recolhem
ao mais secreto de mim,
para depois regressarem
humildemente velados
sob as roupagens do amor,
como flores falecidas
que por milagre recobram
suas pétalas mais brancas.

(...)

Teu pranto, de claro timbre,
com suavidades de canto,
leva-me à lágrima, arranca
de céu estéril, orvalho
que, de tão puro, dissolve
os seixos de antigas penas:
de sobre a magoada areia
que entre pesares palmilho,
teu suave pranto me leva
a ignotos ermos caminhos
onde, foscos, se derramam
palores de nove luas.

Em troca, nada te dou.
Meu filho, és retardatário:
o que talvez fora puro
— límpida pérola intacta
no coração escondida —
era frágil, se quebrou.
A porção a mim legada
de substância que permite
mudar de pouso as montanhas,
ouvir o canto das pedras
e caminhar sobre as águas,
era pouca, se acabou.

Pelas esquinas do mundo,
os mistérios já te espreitam
com suas múltiplas faces:
as sombras da solidão
já se insinuam, de manso,
rumo aos campos de teu ser.
Ah que pobre amor paterno!
Pobre de mim, andarilho
cego e sujo, desprovido
dos mais frágeis artifícios
que te afastem dos tormentos
a que nasce condenado
um homem — ser cuja glória
se resume nos covardes
passeios pela floresta
enquanto o Lobo não vem.

Sem mão que possa guiar-te
(mal-aventurada mão!)
em futuros desamparos,
sem boca que te anuncie
o tempo dos malefícios,
uma ventura me resta:
és meu filho — dou-te a bênção.

(...)

E porque nada possuo
digno de oferta a quem chega
de mãos vazias ao mundo,
é que te fiz, sob disfarce
de conversa, este inaudível
solilóquio ao pé do berço.

Imagem - 00850001


Poema integrante da série Romance do Primogênito, 1952.

In: MELLO, Thiago de. Vento geral, 1951/1981: doze livros de poemas. Rio de Janeiro: Civilização Brasileira, 1984"
29;"Senhora, partem tão tristes
meus olhos por vós, meu bem,
que nunca tão tristes vistes
outros nenhuns por ninguém.

tão tristes, tão saudosos,
tão doentes da partida,
tão cansados, tão chorosos,
da morte mais desejosos
cem mil vezes que da vida.

partem tão tristes os tristes,
tão fora de esperar bem,
que nunca tão tristes vistes
outros nenhuns por ninguém."
30;"Se queres sentir a felicidade de amar, esquece a tua alma.
A alma é que estraga o amor.
Só em Deus ela pode encontrar satisfação.
Não noutra alma.
Só em Deus — ou fora do mundo.
As almas são incomunicáveis.

Deixa o teu corpo entender-se com outro corpo.

Porque os corpos se entendem, mas as almas não."
31;"Por muito tempo achei que a ausência é falta. 
E lastimava, ignorante, a falta. 
Hoje não a lastimo. 
Não há falta na ausência. 
A ausência é um estar em mim. 
E sinto-a, branca, tão pegada, aconchegada nos meus braços, 
que rio e danço e invento exclamações alegres, 
porque a ausência, essa ausência assimilada, 
ninguém a rouba mais de mim."
32;"Agora que o silêncio é um mar sem ondas, 
E que nele posso navegar sem rumo,
Não respondas
Às urgentes perguntas
Que te fiz.
Deixa-me ser feliz
Assim,
Já tão longe de ti como de mim.

Perde-se a vida a desejá-la tanto. 
Só soubemos sofrer, enquanto 
O nosso amor 
Durou. 
Mas o tempo passou, 
Há calmaria... 
Não perturbes a paz que me foi dada. 
Ouvir de novo a tua voz seria 
Matar a sede com água salgada."
33;"Passamos pelas coisas sem as ver, 
gastos, como animais envelhecidos: 
se alguém chama por nós não respondemos, 
se alguém nos pede amor não estremecemos, 
como frutos de sombra sem sabor, 
vamos caindo ao chão, apodrecidos."
34;"Um pouco mais de sol - eu era brasa,
Um pouco mais de azul - eu era além.
Para atingir, faltou-me um golpe de asa...
Se ao menos eu permanecesse aquém...

Assombro ou paz? Em vão... Tudo esvaído
Num grande mar enganador de espuma;
E o grande sonho despertado em bruma,
O grande sonho - ó dor! - quase vivido...

Quase o amor, quase o triunfo e a chama,
Quase o princípio e o fim - quase a expansão...
Mas na minhalma tudo se derrama...
Entanto nada foi só ilusão!

De tudo houve um começo ... e tudo errou...
- Ai a dor de ser - quase, dor sem fim...
Eu falhei-me entre os mais, falhei em mim,
Asa que se elançou mas não voou...

Momentos de alma que desbaratei...
Templos aonde nunca pus um altar...
Rios que perdi sem os levar ao mar...
Ânsias que foram mas que não fixei...

Se me vagueio, encontro só indícios...
Ogivas para o sol - vejo-as cerradas;
E mãos de herói, sem fé, acobardadas,
Puseram grades sobre os precipícios...

Num ímpeto difuso de quebranto,
Tudo encetei e nada possuí...
Hoje, de mim, só resta o desencanto
Das coisas que beijei mas não vivi...

Um pouco mais de sol - e fora brasa,
Um pouco mais de azul - e fora além.
Para atingir faltou-me um golpe de asa...
Se ao menos eu permanecesse aquém...

Listas de som avançam para mim a fustigar-me
Em luz.
Todo a vibrar, quero fugir... Onde acoitar-me?...
Os braços duma cruz
Anseiam-se-me, e eu fujo também ao luar...

"
