id;sentencas;documento
13;['meu amor se esparrama na grama', 'Meu amor se esparrama na cama meu amor se espreguiça meu amor deita e rola no planeta.'];meu amor se esparrama na grama Meu amor se esparrama na cama meu amor se espreguiça meu amor deita e rola no planeta.
14;['Houve um tempo em que minha janela se abria sobre uma cidade que parecia ser feita de giz.', 'Perto da janela havia um pequeno jardim quase seco.', 'Era uma época de estiagem, de terra esfarelada, e o jardim parecia morto.', 'Mas todas as manhãs vinha um pobre com um balde, e, em silêncio, ia atirando com a mão umas gotas de água sobre as plantas.', 'Não era uma rega: era uma espécie de aspersão ritual, para que o jardim não morresse.', 'E eu olhava para as plantas, para o homem, para as gotas de água que caíam de seus dedos magros e meu coração ficava completamente feliz.', 'Às vezes abro a janela e encontro o jasmineiro em flor.', 'Outras vezes encontro nuvens espessas.', 'Avisto crianças que vão para a escola.', 'Pardais que pulam pelo muro.', 'Gatos que abrem e fecham os olhos, sonhando com pardais.', 'Borboletas brancas, duas a duas, como refletidas no espelho do ar.', 'Marimbondos que sempre me parecem personagens de Lope de Vega.', 'Ás vezes, um galo canta.', 'Às vezes, um avião passa.', 'Tudo está certo, no seu lugar, cumprindo o seu destino.', 'E eu me sinto completamente feliz.', 'Mas, quando falo dessas pequenas felicidades certas, que estão diante de cada janela, uns dizem que essas coisas não existem, outros que só existem diante das minhas janelas, e outros, finalmente, que é preciso aprender a olhar, para poder vê-las assim.'];Houve um tempo em que minha janela se abria sobre uma cidade que parecia ser feita de giz. Perto da janela havia um pequeno jardim quase seco. Era uma época de estiagem, de terra esfarelada, e o jardim parecia morto. Mas todas as manhãs vinha um pobre com um balde, e, em silêncio, ia atirando com a mão umas gotas de água sobre as plantas. Não era uma rega: era uma espécie de aspersão ritual, para que o jardim não morresse. E eu olhava para as plantas, para o homem, para as gotas de água que caíam de seus dedos magros e meu coração ficava completamente feliz. Às vezes abro a janela e encontro o jasmineiro em flor. Outras vezes encontro nuvens espessas. Avisto crianças que vão para a escola. Pardais que pulam pelo muro. Gatos que abrem e fecham os olhos, sonhando com pardais. Borboletas brancas, duas a duas, como refletidas no espelho do ar. Marimbondos que sempre me parecem personagens de Lope de Vega. Ás vezes, um galo canta. Às vezes, um avião passa. Tudo está certo, no seu lugar, cumprindo o seu destino. E eu me sinto completamente feliz. Mas, quando falo dessas pequenas felicidades certas, que estão diante de cada janela, uns dizem que essas coisas não existem, outros que só existem diante das minhas janelas, e outros, finalmente, que é preciso aprender a olhar, para poder vê-las assim.
15;['Sei um ninho.', 'E o ninho tem um ovo.', 'E o ovo, redondinho, Tem lá dentro um passarinho Novo.', 'Mas escusam de me atentar:', 'Nem o tiro, nem o ensino.', 'Quero ser um bom menino E guardar Este segredo comigo.', 'E ter depois um amigo Que faça o pino', 'A voar...'];Sei um ninho. E o ninho tem um ovo. E o ovo, redondinho, Tem lá dentro um passarinho Novo. Mas escusam de me atentar: Nem o tiro, nem o ensino. Quero ser um bom menino E guardar Este segredo comigo. E ter depois um amigo Que faça o pino A voar...
16;['O que me tranquiliza é que tudo o que existe, existe com uma precisão absoluta.', 'O que for do tamanho de uma cabeça de alfinete não transborda nem uma fração de milímetro além do tamanho de uma cabeça de alfinete.', 'Tudo o que existe é de uma grande exatidão.', 'Pena é que a maior parte do que existe com essa exatidão nos é tecnicamente invisível.', 'O bom é que a verdade chega a nós como um sentido secreto das coisas.', 'Nós terminamos adivinhando, confusos, a perfeição.'];O que me tranquiliza é que tudo o que existe, existe com uma precisão absoluta. O que for do tamanho de uma cabeça de alfinete não transborda nem uma fração de milímetro além do tamanho de uma cabeça de alfinete. Tudo o que existe é de uma grande exatidão. Pena é que a maior parte do que existe com essa exatidão nos é tecnicamente invisível. O bom é que a verdade chega a nós como um sentido secreto das coisas. Nós terminamos adivinhando, confusos, a perfeição.
18;['Tu tens um medo: Acabar.', 'Não vês que acabas todo o dia.', 'Que morres no amor.', 'Na tristeza.', 'Na dúvida.', 'No desejo.', 'Que te renovas todo o dia.', 'No amor.', 'Na tristeza.', 'Na dúvida.', 'No desejo.', 'Que és sempre outro.', 'Que és sempre o mesmo.', 'Que morrerás por idades imensas.', 'Até não teres medo de morrer.', 'E então serás eterno.'];Tu tens um medo: Acabar. Não vês que acabas todo o dia. Que morres no amor. Na tristeza. Na dúvida. No desejo. Que te renovas todo o dia. No amor. Na tristeza. Na dúvida. No desejo. Que és sempre outro. Que és sempre o mesmo. Que morrerás por idades imensas. Até não teres medo de morrer. E então serás eterno.
19;"['Há homens que lutam um dia, e são bons;', 'Há outros que lutam um ano, e são melhores;', 'Há aqueles que lutam muitos anos, e são muito bons;', 'Porém há os que lutam toda a vida', 'Estes são os imprescindíveis']";"Há homens que lutam um dia, e são bons; Há outros que lutam um ano, e são melhores; Há aqueles que lutam muitos anos, e são muito bons; Porém há os que lutam toda a vida Estes são os imprescindíveis"
20;"['O mistério do mundo, O íntimo, horroroso, desolado, Verdadeiro mistério da existência, Consiste em haver esse mistério. ...', ""Não é a dor de já não poder crer Que m'oprime, nem a de não saber, Mas apenas completamente o horror De ter visto o mistério frente a frente, De tê-lo visto e compreendido em toda A sua infinidade de mistério."", '...', 'Quanto mais fundamente penso, mais Profundamente me descompreendo.', 'O saber é a inconsciência de ignorar...', 'Só a inocência e a ignorância são Felizes, mas não o sabem.', 'São-no ou não?', 'Que é ser sem o saber?', 'Ser, como a pedra, Um lugar, nada mais. ...', 'Quanto mais claro Vejo em mim, mais escuro é o que vejo.', 'Quanto mais compreendo Menos me sinto compreendido.', 'Ó horror paradoxal deste pensar... ...', ""Alegres camponesas, raparigas alegres e ditosas, Como me amarga n'alma essa alegria!""]";O mistério do mundo, O íntimo, horroroso, desolado, Verdadeiro mistério da existência, Consiste em haver esse mistério. ... Não é a dor de já não poder crer Que m'oprime, nem a de não saber, Mas apenas completamente o horror De ter visto o mistério frente a frente, De tê-lo visto e compreendido em toda A sua infinidade de mistério. ... Quanto mais fundamente penso, mais Profundamente me descompreendo. O saber é a inconsciência de ignorar... Só a inocência e a ignorância são Felizes, mas não o sabem. São-no ou não? Que é ser sem o saber? Ser, como a pedra, Um lugar, nada mais. ... Quanto mais claro Vejo em mim, mais escuro é o que vejo. Quanto mais compreendo Menos me sinto compreendido. Ó horror paradoxal deste pensar... ... Alegres camponesas, raparigas alegres e ditosas, Como me amarga n'alma essa alegria!
21;"[""Minh'alma, de sonhar-te, anda perdida"", 'Meus olhos andam cegos de te ver !', 'Não és sequer a razão do meu viver,', 'Pois que tu és já toda a minha vida !', 'Não vejo nada assim enlouquecida ...', 'Passo no mundo, meu Amor, a ler No misterioso livro do teu ser A mesma história tantas vezes lida ! ""', 'Tudo no mundo é frágil, tudo passa ...', '"" Quando me dizem isto, toda a graça', 'Duma boca divina fala em mim !', 'E, olhos postos em ti, digo de rastros :', '""Ah !', 'Podem voar mundos, morrer astros, Que tu és como Deus : Princípio e Fim ! ...', '""']";"Minh'alma, de sonhar-te, anda perdida Meus olhos andam cegos de te ver ! Não és sequer a razão do meu viver, Pois que tu és já toda a minha vida ! Não vejo nada assim enlouquecida ... Passo no mundo, meu Amor, a ler No misterioso livro do teu ser A mesma história tantas vezes lida ! ""Tudo no mundo é frágil, tudo passa ..."" Quando me dizem isto, toda a graça Duma boca divina fala em mim ! E, olhos postos em ti, digo de rastros : ""Ah ! Podem voar mundos, morrer astros, Que tu és como Deus : Princípio e Fim ! ..."""
22;['Meu Deus, me dê a coragem de viver trezentos e sessenta e cinco dias e noites, todos vazios de Tua presença.', 'Me dê a coragem de considerar esse vazio como uma plenitude.', 'Faça com que eu seja a Tua amante humilde, entrelaçada a Ti em êxtase.', 'Faça com que eu possa falar com este vazio tremendo e receber como resposta o amor materno que nutre e embala.', 'Faça com que eu tenha a coragem de Te amar, sem odiar as Tuas ofensas à minha alma e ao meu corpo.', 'Faça com que a solidão não me destrua.', 'Faça com que minha solidão me sirva de companhia.', 'Faça com que eu tenha a coragem de me enfrentar.', 'Faça com que eu saiba ficar com o nada e mesmo assim me sentir como se estivesse plena de tudo.', 'Receba em teus braços o meu pecado de pensar.'];Meu Deus, me dê a coragem de viver trezentos e sessenta e cinco dias e noites, todos vazios de Tua presença. Me dê a coragem de considerar esse vazio como uma plenitude. Faça com que eu seja a Tua amante humilde, entrelaçada a Ti em êxtase. Faça com que eu possa falar com este vazio tremendo e receber como resposta o amor materno que nutre e embala. Faça com que eu tenha a coragem de Te amar, sem odiar as Tuas ofensas à minha alma e ao meu corpo. Faça com que a solidão não me destrua. Faça com que minha solidão me sirva de companhia. Faça com que eu tenha a coragem de me enfrentar. Faça com que eu saiba ficar com o nada e mesmo assim me sentir como se estivesse plena de tudo. Receba em teus braços o meu pecado de pensar.
23;['Os amantes se amam cruelmente e com se amarem tanto não se vêem.', 'Um se beija no outro, refletido.', 'Dois amantes que são?', 'Dois inimigos.', 'Amantes são meninos estragados pelo mimo de amar: e não percebem quanto se pulverizam no enlaçar-se, e como o que era mundo volve a nada.', 'Nada.', 'Ninguém.', 'Amor, puro fantasma que os passeia de leve, assim a cobra se imprime na lembrança de seu trilho.', 'E eles quedam mordidos para sempre.', 'deixaram de existir, mas o existido continua a doer eternamente.'];Os amantes se amam cruelmente e com se amarem tanto não se vêem. Um se beija no outro, refletido. Dois amantes que são? Dois inimigos. Amantes são meninos estragados pelo mimo de amar: e não percebem quanto se pulverizam no enlaçar-se, e como o que era mundo volve a nada. Nada. Ninguém. Amor, puro fantasma que os passeia de leve, assim a cobra se imprime na lembrança de seu trilho. E eles quedam mordidos para sempre. deixaram de existir, mas o existido continua a doer eternamente.
24;"['Pus o meu sonho num navio e o navio em cima do mar; - depois, abri o mar com as mãos, para o meu sonho naufragar Minhas mãos ainda estão molhadas do azul das ondas entreabertas, e a cor que escorre de meus dedos colore as areias desertas.', 'O vento vem vindo de longe, a noite se curva de frio; debaixo da água vai morrendo meu sonho, dentro de um navio...', 'Chorarei quanto for preciso, para fazer com que o mar cresça, e o meu navio chegue ao fundo e o meu sonho desapareça.', 'Depois, tudo estará perfeito; praia lisa, águas ordenadas, meus olhos secos como pedras e as minhas duas mãos quebradas.']";"Pus o meu sonho num navio e o navio em cima do mar; - depois, abri o mar com as mãos, para o meu sonho naufragar Minhas mãos ainda estão molhadas do azul das ondas entreabertas, e a cor que escorre de meus dedos colore as areias desertas. O vento vem vindo de longe, a noite se curva de frio; debaixo da água vai morrendo meu sonho, dentro de um navio... Chorarei quanto for preciso, para fazer com que o mar cresça, e o meu navio chegue ao fundo e o meu sonho desapareça. Depois, tudo estará perfeito; praia lisa, águas ordenadas, meus olhos secos como pedras e as minhas duas mãos quebradas."
25;['Terror de te amar num sítio tão frágil como o mundo', 'Mal de te amar neste lugar de imperfeição', 'Onde tudo nos quebra e emudece Onde tudo nos mente e nos separa'];Terror de te amar num sítio tão frágil como o mundo Mal de te amar neste lugar de imperfeição Onde tudo nos quebra e emudece Onde tudo nos mente e nos separa
27;['Ser poeta é ser mais alto, é ser maior Do que os homens!', 'Morder como quem beija!', 'É ser mendigo e dar como quem seja Rei do Reino de Aquém e de Além Dor!', 'É ter de mil desejos o esplendor E não saber sequer que se deseja!', 'É ter cá dentro um astro que flameja, É ter garras e asas de condor!', 'É ter fome, é ter sede de Infinito!', 'Por elmo, as manhãs de oiro e de cetim...', 'É condensar o mundo num só grito!', 'E é amar-te, assim, perdidamente...', 'É seres alma, e sangue, e vida em mim E dizê-lo cantando a toda a gente!'];Ser poeta é ser mais alto, é ser maior Do que os homens! Morder como quem beija! É ser mendigo e dar como quem seja Rei do Reino de Aquém e de Além Dor! É ter de mil desejos o esplendor E não saber sequer que se deseja! É ter cá dentro um astro que flameja, É ter garras e asas de condor! É ter fome, é ter sede de Infinito! Por elmo, as manhãs de oiro e de cetim... É condensar o mundo num só grito! E é amar-te, assim, perdidamente... É seres alma, e sangue, e vida em mim E dizê-lo cantando a toda a gente!
29;['Senhora, partem tão tristes meus olhos por vós, meu bem, que nunca tão tristes vistes outros nenhuns por ninguém.', 'tão tristes, tão saudosos, tão doentes da partida, tão cansados, tão chorosos, da morte mais desejosos cem mil vezes que da vida.', 'partem tão tristes os tristes, tão fora de esperar bem, que nunca tão tristes vistes outros nenhuns por ninguém.'];Senhora, partem tão tristes meus olhos por vós, meu bem, que nunca tão tristes vistes outros nenhuns por ninguém. tão tristes, tão saudosos, tão doentes da partida, tão cansados, tão chorosos, da morte mais desejosos cem mil vezes que da vida. partem tão tristes os tristes, tão fora de esperar bem, que nunca tão tristes vistes outros nenhuns por ninguém.
30;['Se queres sentir a felicidade de amar, esquece a tua alma.', 'A alma é que estraga o amor.', 'Só em Deus ela pode encontrar satisfação.', 'Não noutra alma.', 'Só em Deus — ou fora do mundo.', 'As almas são incomunicáveis.', 'Deixa o teu corpo entender-se com outro corpo.', 'Porque os corpos se entendem, mas as almas não.'];Se queres sentir a felicidade de amar, esquece a tua alma. A alma é que estraga o amor. Só em Deus ela pode encontrar satisfação. Não noutra alma. Só em Deus — ou fora do mundo. As almas são incomunicáveis. Deixa o teu corpo entender-se com outro corpo. Porque os corpos se entendem, mas as almas não.
31;['Por muito tempo achei que a ausência é falta.', 'E lastimava, ignorante, a falta.', 'Hoje não a lastimo.', 'Não há falta na ausência.', 'A ausência é um estar em mim.', 'E sinto-a, branca, tão pegada, aconchegada nos meus braços, que rio e danço e invento exclamações alegres, porque a ausência, essa ausência assimilada, ninguém a rouba mais de mim.'];Por muito tempo achei que a ausência é falta. E lastimava, ignorante, a falta. Hoje não a lastimo. Não há falta na ausência. A ausência é um estar em mim. E sinto-a, branca, tão pegada, aconchegada nos meus braços, que rio e danço e invento exclamações alegres, porque a ausência, essa ausência assimilada, ninguém a rouba mais de mim.
32;['Agora que o silêncio é um mar sem ondas, E que nele posso navegar sem rumo, Não respondas Às urgentes perguntas Que te fiz.', 'Deixa-me ser feliz', 'Assim, Já tão longe de ti como de mim.', 'Perde-se a vida a desejá-la tanto.', 'Só soubemos sofrer, enquanto O nosso amor Durou.', 'Mas o tempo passou, Há calmaria...', 'Não perturbes a paz que me foi dada.', 'Ouvir de novo a tua voz seria Matar a sede com água salgada.'];Agora que o silêncio é um mar sem ondas, E que nele posso navegar sem rumo, Não respondas Às urgentes perguntas Que te fiz. Deixa-me ser feliz Assim, Já tão longe de ti como de mim. Perde-se a vida a desejá-la tanto. Só soubemos sofrer, enquanto O nosso amor Durou. Mas o tempo passou, Há calmaria... Não perturbes a paz que me foi dada. Ouvir de novo a tua voz seria Matar a sede com água salgada.
33;['Passamos pelas coisas sem as ver, gastos, como animais envelhecidos:', 'se alguém chama por nós não respondemos, se alguém nos pede amor não estremecemos, como frutos de sombra sem sabor, vamos caindo ao chão, apodrecidos.'];Passamos pelas coisas sem as ver, gastos, como animais envelhecidos: se alguém chama por nós não respondemos, se alguém nos pede amor não estremecemos, como frutos de sombra sem sabor, vamos caindo ao chão, apodrecidos.
34;"['Um pouco mais de sol - eu era brasa, Um pouco mais de azul - eu era além.', 'Para atingir, faltou-me um golpe de asa...', 'Se ao menos eu permanecesse aquém...', 'Assombro ou paz?', 'Em vão...', 'Tudo esvaído Num grande mar enganador de espuma;', 'E o grande sonho despertado em bruma, O grande sonho - ó dor! - quase vivido...', 'Quase o amor, quase o triunfo e a chama, Quase o princípio e o fim - quase a expansão...', 'Mas na minhalma tudo se derrama...', 'Entanto nada foi só ilusão!', 'De tudo houve um começo ... e tudo errou... -', 'Ai a dor de ser - quase, dor sem fim...', 'Eu falhei-me entre os mais, falhei em mim,', 'Asa que se elançou mas não voou...', 'Momentos de alma que desbaratei...', 'Templos aonde nunca pus um altar...', 'Rios que perdi sem os levar ao mar...', 'Ânsias que foram mas que não fixei...', 'Se me vagueio, encontro só indícios...', 'Ogivas para o sol - vejo-as cerradas;', 'E mãos de herói, sem fé, acobardadas, Puseram grades sobre os precipícios...', 'Num ímpeto difuso de quebranto, Tudo encetei e nada possuí...', 'Hoje, de mim, só resta o desencanto Das coisas que beijei mas não vivi...', 'Um pouco mais de sol - e fora brasa, Um pouco mais de azul - e fora além.', 'Para atingir faltou-me um golpe de asa...', 'Se ao menos eu permanecesse aquém...', 'Listas de som avançam para mim a fustigar-me', 'Em luz.', 'Todo a vibrar, quero fugir...', 'Onde acoitar-me?', '...', 'Os braços duma cruz Anseiam-se-me, e eu fujo também ao luar...']";"Um pouco mais de sol - eu era brasa, Um pouco mais de azul - eu era além. Para atingir, faltou-me um golpe de asa... Se ao menos eu permanecesse aquém... Assombro ou paz? Em vão... Tudo esvaído Num grande mar enganador de espuma; E o grande sonho despertado em bruma, O grande sonho - ó dor! - quase vivido... Quase o amor, quase o triunfo e a chama, Quase o princípio e o fim - quase a expansão... Mas na minhalma tudo se derrama... Entanto nada foi só ilusão! De tudo houve um começo ... e tudo errou... - Ai a dor de ser - quase, dor sem fim... Eu falhei-me entre os mais, falhei em mim, Asa que se elançou mas não voou... Momentos de alma que desbaratei... Templos aonde nunca pus um altar... Rios que perdi sem os levar ao mar... Ânsias que foram mas que não fixei... Se me vagueio, encontro só indícios... Ogivas para o sol - vejo-as cerradas; E mãos de herói, sem fé, acobardadas, Puseram grades sobre os precipícios... Num ímpeto difuso de quebranto, Tudo encetei e nada possuí... Hoje, de mim, só resta o desencanto Das coisas que beijei mas não vivi... Um pouco mais de sol - e fora brasa, Um pouco mais de azul - e fora além. Para atingir faltou-me um golpe de asa... Se ao menos eu permanecesse aquém... Listas de som avançam para mim a fustigar-me Em luz. Todo a vibrar, quero fugir... Onde acoitar-me?... Os braços duma cruz Anseiam-se-me, e eu fujo também ao luar..."
35;['Mal nos conhecemos Inauguramos a palavra amigo!', 'Amigo é um sorriso', 'De boca em boca, Um olhar bem limpo', 'Uma casa, mesmo modesta, que se oferece.', 'Um coração pronto a pulsar', 'Na nossa mão!', 'Amigo (recordam-se, vocês aí, Escrupulosos detritos?)', 'Amigo é o contrário de inimigo!', 'Amigo é o erro corrigido, Não o erro perseguido, explorado.', 'É a verdade partilhada, praticada.', 'Amigo é a solidão derrotada!', 'Amigo é uma grande tarefa, Um trabalho sem fim, Um espaço útil, um tempo fértil, Amigo vai ser, é já uma grande festa!'];Mal nos conhecemos Inauguramos a palavra amigo! Amigo é um sorriso De boca em boca, Um olhar bem limpo Uma casa, mesmo modesta, que se oferece. Um coração pronto a pulsar Na nossa mão! Amigo (recordam-se, vocês aí, Escrupulosos detritos?) Amigo é o contrário de inimigo! Amigo é o erro corrigido, Não o erro perseguido, explorado. É a verdade partilhada, praticada. Amigo é a solidão derrotada! Amigo é uma grande tarefa, Um trabalho sem fim, Um espaço útil, um tempo fértil, Amigo vai ser, é já uma grande festa!
